,Round ID,Total Win/Loss,Game Provider Round ID,Jackpot Contribution,Win/Loss
585,ugs-2213075621,-0.5,,,
586,ugs-2213075605,3.0,,,
587,ugs-2213075590,-1.0,,,
588,ugs-2213075593,-1.0,,,
589,ugs-2213075581,2.0,,,
590,ugs-2213075546,-5.0,,,
591,ugs-2213075562,-10.0,,,
592,ugs-2213075493,-1.0,,,
593,ugs-2213075503,-1.0,,,
594,ugs-2213075488,-5.0,,,
595,ugs-2213075473,-5.0,,,
596,ugs-2213075479,11.0,,,
597,ugs-2213075472,-10.0,,,
598,ugs-2213075444,-7.0,,,
599,ugs-2213075407,-1.0,,,
600,ugs-2213075390,-1.0,,,
601,ugs-2213075393,-10.0,,,
602,ugs-2213075351,0.0,,,
603,ugs-2213075334,-1.0,,,
604,ugs-2213075333,-5.0,,,
605,ugs-2213075319,-5.0,,,
606,ugs-2213075261,-1.0,,,
607,ugs-2213075291,-10.0,,,
608,ugs-2213075287,-10.0,,,
609,ugs-2213075243,-20.0,,,
610,ugs-2213075178,-1.0,,,
611,ugs-2213075215,-5.0,,,
612,ugs-2213075214,-5.0,,,
613,ugs-2213075144,-10.0,,,
614,ugs-2213075106,-1.0,,,
615,ugs-2213075120,-10.0,,,
616,ugs-2213075085,-5.0,,,
617,ugs-2213075078,-1.0,,,
618,ugs-2213075020,-1.0,,,
619,ugs-2213075029,-10.0,,,
620,ugs-2213075045,-5.0,,,
621,ugs-2213074963,-5.0,,,
622,ugs-2213074959,-4.5,,,
623,ugs-2213074931,-10.0,,,
624,ugs-2213074886,-1.0,,,
625,ugs-2213074899,-5.0,,,
626,ugs-2213074802,-10.0,,,
627,ugs-2213074812,-5.0,,,
628,ugs-2213074788,-10.0,,,
629,ugs-2213074768,-1.0,,,
630,ugs-2213074767,-5.0,,,
631,ugs-2213074713,-10.0,,,
632,ugs-2213074661,-10.0,,,
633,ugs-2213074673,-5.0,,,
634,ugs-2213074653,-10.0,,,
635,ugs-2213074598,0.0,,,
636,ugs-2213074570,-10.0,,,
637,ugs-2213074531,-10.0,,,
638,ugs-2213074553,-5.0,,,
639,ugs-2213074425,-20.0,,,
640,ugs-2213074427,-5.0,,,
641,ugs-2213074417,6.1,,,
642,ugs-2213074392,-10.0,,,
643,ugs-2213074378,-10.0,,,
644,ugs-2213074317,17.0,,,
645,ugs-2213074311,-5.0,,,
646,ugs-2213074287,-20.0,,,
647,ugs-2213074239,-10.0,,,
648,ugs-2213074202,-1.0,,,
649,ugs-2213074180,-5.0,,,
650,ugs-2213074198,-10.0,,,
651,ugs-2213074163,10.0,,,
652,ugs-2213074140,-20.0,,,
653,ugs-2213074102,-1.0,,,
654,ugs-2213074045,-10.0,,,
655,ugs-2213074008,-1.0,,,
656,ugs-2213074012,-5.0,,,
657,ugs-2213073992,-20.0,,,
658,ugs-2213073934,-1.0,,,
659,ugs-2213073882,-1.0,,,
660,ugs-2213073889,-5.0,,,
661,ugs-2213073894,-7.0,,,
662,ugs-2213073863,-10.0,,,
663,ugs-2213073853,-20.0,,,
664,ugs-2213073842,21.5,,,
665,ugs-2213073771,-1.0,,,
666,ugs-2213073731,-5.0,,,
667,ugs-2213073718,-10.0,,,
668,ugs-2213073687,-1.0,,,
669,ugs-2213073656,-1.0,,,
670,ugs-2213073677,-20.0,,,
671,ugs-2213073666,-5.0,,,
672,ugs-2213073593,-1.0,,,
673,ugs-2213073610,-5.0,,,
674,ugs-2213073506,-1.0,,,
675,ugs-2213073534,-20.0,,,
676,ugs-2213073522,-5.0,,,
677,ugs-2213073471,-1.0,,,
678,ugs-2213073472,-5.0,,,
679,ugs-2213073413,-1.0,,,
680,ugs-2213073370,-5.0,,,
681,ugs-2213073319,-1.0,,,
682,ugs-2213073337,-5.0,,,
683,ugs-2213073254,-5.0,,,
684,ugs-2213073303,-1.0,,,
685,ugs-2213073216,-1.0,,,
686,ugs-2213073226,-5.0,,,
687,ugs-2213073220,-10.0,,,
688,ugs-2213073198,-5.0,,,
689,ugs-2213073116,-1.0,,,
690,ugs-2213073138,-5.0,,,
691,ugs-2213073068,-5.0,,,
692,ugs-2213073094,-1.0,,,
693,ugs-2213073097,-10.0,,,
694,ugs-2213073023,-5.0,,,
695,ugs-2213073044,-5.0,,,
696,ugs-2213073046,-10.0,,,
697,ugs-2213073005,-1.0,,,
698,ugs-2213072610,-1.0,,,
699,ugs-2213072723,-5.0,,,
700,ugs-2213072883,-1.0,,,
701,ugs-2213072794,-10.0,,,
702,ugs-2213072757,-5.0,,,
703,ugs-2213072667,-5.0,,,
704,ugs-2213072590,-5.0,,,
705,ugs-2213072595,-1.0,,,
706,ugs-2213072604,-10.0,,,
707,ugs-2213072565,-5.0,,,
708,ugs-2213072549,-10.0,,,
709,ugs-2213072475,-5.0,,,
710,ugs-2213072458,-10.0,,,
711,ugs-2213072447,-5.0,,,
712,ugs-2213072412,-1.0,,,
713,ugs-2213072401,-4.0,,,
714,ugs-2213072366,-5.0,,,
715,ugs-2213072272,-5.0,,,
716,ugs-2213072257,10.0,,,
717,ugs-2213072243,-1.0,,,
718,ugs-2213072232,-10.0,,,
719,ugs-2213072203,-1.0,,,
720,ugs-2213072209,-5.0,,,
721,ugs-2213072166,-5.0,,,
722,ugs-2213072144,28.0,,,
723,ugs-2213072079,-1.0,,,
724,ugs-2213072061,-5.0,,,
725,ugs-2213072040,-10.0,,,
